Strain,Number,BioRep,TechRep,MIC,Notes
JCP8108,7,20230809A,B,96,NA
UM35,7,20230809A,B,96,NA
JCP8017B,8,20230809B,A,24,NA
JCP8066,8,20230809B,A,24,NA
C0101A1,8,20230809B,A,24,NA
UM35,8,20230809B,A,24,NA
JCP8017B,8,20230809B,B,96,NA
JCP8066,8,20230809B,B,96,NA
C0101A1,8,20230809B,B,96,NA
UM35,8,20230809B,B,96,NA
